AREACD,AREANM,Method,mapvar,Retail (47),Health (Q),Professional (M),Education (P),Finance (K),Food and Drink (56),Admin and support (N),Public admin (O),Information and communication (J),Construction (F),Manufacturing (C) ,Transport (H),Arts (R),"Other Services (S,T,U)","Wholesale (45,46,48)",Accommodation (55),Real estate (L)
E30000004,Barnsley,0.244960047,0.558120049,1.64605982,0.108815289,0.674036101,1.409030702,1.025292739,1.52579326,0.723825898,0.768340681,0.482424017,0.971588081,0.414577659,1.205663917,0.595424934,0.876858884,1.181887204,0.6594462,1.094014442
E30000018,Bradford,0.318906984,0.342524937,1.794330529,0.108654271,2.34621351,0.980991777,1.13460953,0.76824845,0.615519418,0.443232311,0.917191066,0.910883058,0.674920264,0.608447983,1.115488654,1.221888293,1.267867216,0.695291101,0.862077013
E30000029,Halifax,0.39916886,1.190901055,1.758808839,0.021751767,0.529247008,1.154411307,0.969701657,0.797308339,0.848696274,0.513053489,2.116979213,0.922346252,0.580986116,1.133502231,0.765931951,0.957150899,0.860524233,0.882959497,1.443928001
E30000039,Skipton,1.23521829,3.277239758,1.121319405,0.006229734,0.424233747,1.441940051,0.984274961,0.563244004,1.370746195,0.355025086,1.950005179,1.127094295,0.901896955,1.603831482,0.310225426,0.939001097,0.559659476,1.029888168,1.266663387
E30000046,Dorchester and Weymouth,2.606195768,5.26948999,0.895487055,0.024716804,1.387782125,1.028369506,0.910458892,0.257930637,1.570742463,0.280301443,0.196708705,1.066957309,1.266523197,0.510194741,2.194323753,0.862888214,1.410990693,1.138555296,0.670865716
E30000051,Falmouth,4.343652925,1.654762966,1.258367847,0.144027929,0.28537072,1.384245663,1.306965925,0.306431426,2.53614261,0.454308761,0.221919581,0.785266928,0.790110955,0.508827612,0.408052706,1.220842161,0.678219799,1.187687615,0.623190471
E30000054,Grantham,2.344634158,2.214137064,1.301671543,1.183398958,2.723551444,0.872547112,1.252985103,0.905604823,1.018878697,0.316096089,0.316247331,1.151529711,0.765486211,0.690123583,0.587577935,0.869632927,1.369331772,1.309295148,1.212062234
E30000061,Hastings,1.252769779,null,0.882929188,0.179176478,0.574345352,1.113795018,1.049560184,0.641456731,1.532234282,0.397534813,1.258787362,1.025548252,0.605981054,0.515061683,1.077090635,1.048763519,1.558231237,0.819773049,1.073242397
E30000064,Hexham,14.77631163,4.116768535,1.252457644,3.460178171,2.705582791,1.002050743,1.145350321,1.071743024,1.64531559,0.35610499,0.204144719,1.056502552,0.795356607,0.370072189,0.388153839,0.791333521,1.217744275,1.170057028,1.042628227
E30000070,Isle of Wight,1.881485839,0.691739432,1.104762628,3.224464504,0.644407185,0.918784932,1.066203889,0.678785078,1.982422823,0.359784953,0.221463109,0.772134148,0.531304986,0.72082075,0.803642259,0.906519194,1.377387847,1.310386563,1.251645744
E30000076,Lancaster and Morecambe,1.146060927,null,0.618735985,5.106429158,1.037354063,0.941049105,1.033000124,0.891105179,1.105143508,0.46011415,0.525188846,0.804568239,0.73919467,0.747449752,0.613299801,1.940602484,1.330048347,0.808715907,0.881601427
E30000093,Middlesbrough and Stockton,0.316628707,3.69859894,1.18864289,1.004487308,0.877723726,1.134686198,1.014042951,1.065602793,0.848635895,0.473916606,0.560928806,0.996235478,0.793992619,0.822528339,1.315869423,1.040250938,1.371482668,0.937469496,0.721858912
E30000095,Minehead,7.25297384,null,0.509663157,null,0.408108051,0.982957608,1.18483659,0.514819467,3.640974907,0.232449736,0.108544525,1.822817402,0.500461896,0.221141226,0.429215022,0.981127478,1.01264106,1.388967706,1.462317974
E30000106,Penrith,4.240265693,10.04844792,1.084124808,0.232478495,1.207002974,1.317954465,1.088251209,1.509498503,2.583578308,0.189896545,0.300389456,0.729254389,0.646413772,0.38578356,1.637281247,0.763989018,0.668453046,0.835443695,0.882532302
E30000108,Peterborough,1.578076674,2.728557282,1.092943911,0.282236799,1.119244801,0.840970153,1.235111722,1.267752838,0.88516227,0.986094578,1.011437294,1.030911804,0.750158192,1.199048758,0.663089908,1.045463335,0.837090487,0.961731951,0.82693162
E30000110,Poole,1.776592424,3.23913716,1.524240361,0.257283558,0.897021835,1.370213596,1.037969339,0.596016549,1.092473322,0.536670381,0.723137104,1.362801261,0.794799558,0.893535898,0.594305814,0.760090376,1.219493061,1.157468753,1.145400146
E30000124,Spalding,3.793765302,null,2.556583265,0.397979305,0.809459671,0.965290994,1.405195306,1.747601805,0.536754698,0.136948516,0.205305674,0.356142317,0.422445347,2.004239496,0.249566498,0.640080334,0.50544458,0.4794258,0.647740236
